,FIPS Code,County Name/State Abbreviation,Labor Force,Employed,Unemployed,Unemployment (%)
186,06001,"Alameda County, CA","837,583     ","801,774     ","35,809     ",4.3
187,06003,"Alpine County, CA",557     ,521     ,36     ,6.5
188,06005,"Amador County, CA","14,574     ","13,706     ",868     ,6.0
189,06007,"Butte County, CA","101,987     ","95,246     ","6,741     ",6.6
190,06009,"Calaveras County, CA","20,868     ","19,684     ","1,184     ",5.7
191,06011,"Colusa County, CA","10,943     ","9,238     ","1,705     ",15.6
192,06013,"Contra Costa County, CA","557,042     ","532,200     ","24,842     ",4.5
193,06015,"Del Norte County, CA","9,788     ","9,051     ",737     ,7.5
194,06017,"El Dorado County, CA","89,088     ","84,512     ","4,576     ",5.1
195,06019,"Fresno County, CA","446,128     ","403,719     ","42,409     ",9.5
196,06021,"Glenn County, CA","12,992     ","11,909     ","1,083     ",8.3
197,06023,"Humboldt County, CA","62,635     ","59,548     ","3,087     ",4.9
198,06025,"Imperial County, CA","76,993     ","58,789     ","18,204     ",23.6
199,06027,"Inyo County, CA","8,889     ","8,419     ",470     ,5.3
200,06029,"Kern County, CA","388,445     ","347,996     ","40,449     ",10.4
201,06031,"Kings County, CA","57,348     ","51,628     ","5,720     ",10.0
202,06033,"Lake County, CA","29,165     ","27,205     ","1,960     ",6.7
203,06035,"Lassen County, CA","10,397     ","9,676     ",721     ,6.9
204,06037,"Los Angeles County, CA","5,054,938     ","4,789,505     ","265,433     ",5.3
205,06039,"Madera County, CA","61,311     ","55,648     ","5,663     ",9.2
206,06041,"Marin County, CA","140,306     ","135,710     ","4,596     ",3.3
207,06043,"Mariposa County, CA","7,594     ","7,073     ",521     ,6.9
208,06045,"Mendocino County, CA","39,752     ","37,655     ","2,097     ",5.3
209,06047,"Merced County, CA","114,612     ","102,474     ","12,138     ",10.6
210,06049,"Modoc County, CA","3,303     ","3,045     ",258     ,7.8
211,06051,"Mono County, CA","8,394     ","7,944     ",450     ,5.4
212,06053,"Monterey County, CA","219,506     ","202,695     ","16,811     ",7.7
213,06055,"Napa County, CA","73,190     ","70,047     ","3,143     ",4.3
214,06057,"Nevada County, CA","48,312     ","46,001     ","2,311     ",4.8
215,06059,"Orange County, CA","1,602,461     ","1,537,686     ","64,775     ",4.0
216,06061,"Placer County, CA","180,212     ","172,126     ","8,086     ",4.5
217,06063,"Plumas County, CA","7,876     ","7,110     ",766     ,9.7
218,06065,"Riverside County, CA","1,052,648     ","988,171     ","64,477     ",6.1
219,06067,"Sacramento County, CA","695,243     ","657,592     ","37,651     ",5.4
220,06069,"San Benito County, CA","29,835     ","27,798     ","2,037     ",6.8
221,06071,"San Bernardino County, CA","932,257     ","878,388     ","53,869     ",5.8
222,06073,"San Diego County, CA","1,570,270     ","1,496,156     ","74,114     ",4.7
223,06075,"San Francisco County/city, CA","560,067     ","541,709     ","18,358     ",3.3
224,06077,"San Joaquin County, CA","319,513     ","293,543     ","25,970     ",8.1
225,06079,"San Luis Obispo County, CA","140,300     ","134,257     ","6,043     ",4.3
226,06081,"San Mateo County, CA","445,445     ","431,923     ","13,522     ",3.0
227,06083,"Santa Barbara County, CA","216,113     ","205,177     ","10,936     ",5.1
228,06085,"Santa Clara County, CA","1,023,975     ","985,073     ","38,902     ",3.8
229,06087,"Santa Cruz County, CA","143,995     ","133,952     ","10,043     ",7.0
230,06089,"Shasta County, CA","74,457     ","69,265     ","5,192     ",7.0
231,06091,"Sierra County, CA","1,338     ","1,236     ",102     ,7.6
232,06093,"Siskiyou County, CA","17,955     ","16,428     ","1,527     ",8.5
233,06095,"Solano County, CA","207,909     ","196,460     ","11,449     ",5.5
234,06097,"Sonoma County, CA","260,108     ","249,760     ","10,348     ",4.0
235,06099,"Stanislaus County, CA","243,542     ","222,557     ","20,985     ",8.6
236,06101,"Sutter County, CA","44,571     ","40,196     ","4,375     ",9.8
237,06103,"Tehama County, CA","25,155     ","23,363     ","1,792     ",7.1
238,06105,"Trinity County, CA","5,010     ","4,655     ",355     ,7.1
239,06107,"Tulare County, CA","203,955     ","181,145     ","22,810     ",11.2
240,06109,"Tuolumne County, CA","21,640     ","20,293     ","1,347     ",6.2
241,06111,"Ventura County, CA","426,660     ","404,382     ","22,278     ",5.2
242,06113,"Yolo County, CA","106,367     ","100,096     ","6,271     ",5.9
243,06115,"Yuba County, CA","28,148     ","25,715     ","2,433     ",8.6
